n	50
m	51
j	a	b	d	k
0	85	14	5374	46
1	30	33	536	32
2	42	74	6148	46
3	68	71	1851	8
4	22	28	7096	15
5	99	69	4570	17
6	91	23	2735	43
7	55	22	1450	14
8	81	26	5741	26
9	83	87	2541	47
10	18	72	6405	21
11	90	22	1943	46
12	11	17	4858	23
13	70	90	7005	39
14	91	76	2725	30
15	7	16	3309	12
16	92	37	6507	21
17	26	58	349	24
18	12	77	3129	33
19	8	39	1468	27
20	61	100	7091	4
21	15	61	532	42
22	80	84	1132	16
23	16	8	5790	31
24	21	89	3576	34
25	85	48	2713	21
26	38	43	6610	48
27	62	94	6059	3
28	65	51	138	24
29	42	37	2212	39
30	45	5	3743	45
31	38	5	1306	6
32	64	50	1034	3
33	51	14	3285	30
34	88	62	3760	2
35	96	68	2299	47
36	23	20	747	1
37	16	8	732	8
38	54	98	11	13
39	18	66	3184	16
40	5	76	7023	17
41	54	66	3253	34
42	14	3	5922	37
43	6	76	7060	27
44	19	19	2501	0
45	77	28	1693	8
46	56	92	515	34
47	15	35	4448	17
48	82	95	2758	26
49	91	36	1331	25
K
0	7	44	50	10	36	58	59	42	52	55	10	35	16	20	52	22	50	71	47	16	23	31	23	25	43	31	27	31	51	20	49	30	3	32	62	26	38	21	45	16	46	40	45	22	34	59	10	66	21	19
7	0	51	53	11	39	65	66	49	59	62	3	42	9	23	59	29	57	78	54	21	28	38	30	32	50	38	34	28	58	13	56	33	4	39	69	33	45	24	52	23	53	47	52	25	37	66	17	73	28	24
44	51	0	44	40	30	14	15	12	24	21	54	9	60	40	24	22	10	27	3	30	29	13	21	19	17	13	31	37	7	64	17	24	47	14	18	18	6	39	27	28	8	4	11	32	28	15	34	22	23	27
50	53	44	0	60	14	32	55	56	68	65	50	39	50	30	20	28	34	43	43	34	73	45	33	53	27	55	75	81	49	54	61	20	53	58	38	30	38	29	17	66	52	44	55	28	16	37	54	50	31	31
10	11	40	60	0	46	54	55	38	48	51	14	31	20	30	48	32	46	67	43	26	17	27	27	21	39	27	23	21	47	24	45	40	7	28	58	30	34	31	43	12	42	36	41	32	44	55	6	62	29	29
36	39	30	14	46	0	28	41	42	54	51	40	25	46	26	22	14	20	41	29	20	59	31	19	39	13	41	61	67	35	50	47	6	39	44	32	16	24	25	15	52	38	30	41	18	8	29	40	36	17	17
58	65	14	32	54	28	0	23	24	36	33	68	23	74	54	12	36	8	13	11	44	41	27	35	33	15	27	43	49	17	78	29	34	61	26	6	32	20	53	15	42	20	18	23	46	36	5	48	18	37	41
59	66	15	55	55	41	23	0	17	13	10	69	24	75	55	35	37	21	12	12	45	38	28	36	34	28	28	32	40	8	79	10	35	62	27	17	33	21	54	38	43	13	19	14	47	39	18	49	7	38	42
42	49	12	56	38	42	24	17	0	12	13	52	17	58	38	36	28	22	29	13	28	21	11	23	17	29	11	19	25	9	62	7	36	45	10	20	26	18	37	39	26	4	12	3	30	40	19	32	24	25	25
52	59	24	68	48	54	36	13	12	0	3	62	29	68	48	48	40	34	25	25	38	31	23	35	27	41	21	25	33	19	72	7	48	55	20	30	38	30	47	51	36	16	24	13	40	52	31	42	18	37	37
