n	50
m	51
j	a	b	d	k
0	73	45	78	10
1	21	83	71	15
2	19	54	73	48
3	11	32	99	3
4	67	62	50	4
5	81	42	12	28
6	29	92	50	20
7	76	4	53	43
8	41	62	6	44
9	70	27	48	36
10	18	68	79	18
11	43	85	35	15
12	95	4	63	9
13	35	90	90	35
14	97	68	78	29
15	21	14	83	35
16	46	48	42	17
17	95	49	59	40
18	58	73	51	19
19	59	90	90	16
20	97	39	72	50
21	8	15	78	1
22	74	40	23	4
23	43	27	68	31
24	91	86	17	29
25	39	29	74	39
26	26	73	5	36
27	26	90	79	32
28	45	74	72	28
29	77	79	98	21
30	35	77	47	23
31	19	48	28	32
32	81	73	57	38
33	42	74	97	14
34	91	39	80	13
35	65	18	24	9
36	20	90	12	7
37	77	64	40	13
38	73	94	0	48
39	56	40	47	32
40	74	76	0	11
41	73	13	74	20
42	27	87	37	8
43	34	65	11	16
44	17	75	92	11
45	72	14	98	45
46	19	8	84	27
47	55	56	52	25
48	69	4	7	3
49	59	1	15	9
K
0	43	23	50	11	28	10	39	44	36	31	31	28	30	40	37	35	15	37	33	14	48	32	11	38	61	22	14	15	42	10	22	12	28	19	22	44	37	42	16	63	26	33	32	33	8	19	31	10	21	22	
43	0	66	23	52	53	37	12	11	35	74	62	19	61	21	6	26	38	12	18	29	27	39	42	23	18	41	29	50	41	37	29	55	71	62	65	13	24	33	47	20	53	14	31	22	39	38	74	45	52	59	
23	66	0	73	14	25	29	54	67	59	12	42	51	43	63	60	58	38	54	48	37	71	29	34	43	84	45	37	16	65	33	37	11	11	4	1	67	42	65	27	86	49	56	55	56	27	42	8	21	44	19	
50	23	73	0	59	60	44	31	12	14	81	39	22	38	10	25	15	35	29	25	36	4	46	39	30	11	28	36	57	18	40	36	62	78	69	72	10	31	10	46	13	30	17	18	17	46	31	81	52	29	66	
11	52	14	59	0	39	21	50	53	45	26	28	37	29	49	46	44	24	48	44	23	57	43	20	49	70	31	23	26	51	19	33	15	25	18	15	53	48	51	13	72	35	42	41	42	19	28	22	7	30	33	
28	53	25	60	39	0	18	41	54	46	21	59	38	58	50	47	45	35	41	35	24	58	14	39	30	71	38	24	13	52	34	24	24	18	21	24	54	29	52	44	73	50	43	42	43	20	35	21	38	49	6	
10	37	29	44	21	18	0	29	38	30	37	41	22	40	34	31	29	17	27	23	8	42	22	21	28	55	20	8	13	36	16	12	18	34	25	28	38	27	36	26	57	32	27	26	27	2	17	37	20	31	22	
39	12	54	31	50	41	29	0	19	43	62	70	27	69	29	6	34	46	2	6	29	35	27	50	11	30	49	27	38	49	45	17	43	59	50	53	21	12	41	55	32	61	22	39	30	31	46	62	49	60	47	
44	11	67	12	53	54	38	19	0	24	75	51	16	50	10	13	15	29	17	19	30	16	40	33	24	17	30	30	51	30	34	30	56	72	63	66	2	25	22	40	19	42	11	20	11	40	27	75	46	41	60	
36	35	59	14	45	46	30	43	24	0	67	27	16	26	14	37	9	21	41	37	22	12	36	25	42	25	14	22	43	6	26	26	48	64	55	58	22	41	6	32	27	18	21	4	13	32	17	67	38	17	52	
31	74	12	81	26	21	37	62	75	67	0	50	59	51	71	68	66	46	62	56	45	79	35	42	51	92	53	45	24	73	41	45	19	3	12	11	75	50	73	35	94	57	64	63	64	35	50	4	29	52	15	
31	62	42	39	28	59	41	70	51	27	50	0	43	1	41	64	36	24	68	64	41	35	63	20	69	48	21	43	46	23	25	53	35	47	38	41	49	68	29	15	44	9	48	31	40	39	24	50	21	10	53	
28	19	51	22	37	38	22	27	16	16	59	43	0	42	12	21	7	19	25	21	14	20	24	23	26	33	22	14	35	22	18	14	40	56	47	50	16	25	14	28	35	34	5	12	5	24	19	59	30	33	44	
30	61	43	38	29	58	40	69	50	26	51	1	42	0	40	63	35	23	67	63	40	34	62	19	68	47	20	42	45	22	24	52	34	48	39	42	48	67	28	16	43	8	47	30	39	38	23	51	22	9	52	
40	21	63	10	49	50	34	29	10	14	71	41	12	40	0	23	5	25	27	23	26	8	36	29	28	21	20	26	47	20	30	26	52	68	59	62	8	27	12	36	23	32	7	10	7	36	21	71	42	31	56	
37	6	60	25	46	47	31	6	13	37	68	64	21	63	23	0	28	40	6	12	23	29	33	44	17	24	43	23	44	43	39	23	49	65	56	59	15	18	35	49	26	55	16	33	24	33	40	68	43	54	53	
35	26	58	15	44	45	29	34	15	9	66	36	7	35	5	28	0	20	32	28	21	13	31	24	33	26	15	21	42	15	25	21	47	63	54	57	13	32	7	31	28	27	12	5	4	31	16	66	37	26	51	
15	38	38	35	24	35	17	46	29	21	46	24	19	23	25	40	20	0	44	40	17	33	39	4	45	46	7	19	22	27	5	29	27	43	34	37	29	44	27	11	48	15	24	17	18	15	4	46	17	14	31	
37	12	54	29	48	41	27	2	17	41	62	68	25	67	27	6	32	44	0	6	27	33	27	48	11	30	47	25	38	47	43	17	43	59	50	53	19	12	39	53	32	59	20	37	28	29	44	62	47	58	47	
33	18	48	25	44	35	23	6	19	37	56	64	21	63	23	12	28	40	6	0	23	29	21	44	5	36	43	21	32	43	39	11	37	53	44	47	19	6	35	49	38	55	16	33	24	25	40	56	43	54	41	
14	29	37	36	23	24	8	29	30	22	45	41	14	40	26	23	21	17	27	23	0	34	22	21	28	47	20	2	21	28	16	12	26	42	33	36	30	27	28	26	49	32	19	18	19	10	17	45	20	31	30	
48	27	71	4	57	58	42	35	16	12	79	35	20	34	8	29	13	33	33	29	34	0	44	37	34	13	26	34	55	14	38	34	60	76	67	70	14	33	6	44	15	26	15	16	15	44	29	79	50	27	64	
32	39	29	46	43	14	22	27	40	36	35	63	24	62	36	33	31	39	27	21	22	44	0	43	16	57	42	20	17	42	38	10	28	32	25	28	40	15	38	48	59	54	29	32	29	24	39	35	42	53	20	
11	42	34	39	20	39	21	50	33	25	42	20	23	19	29	44	24	4	48	44	21	37	43	0	49	50	11	23	26	31	5	33	23	39	30	33	33	48	31	7	52	15	28	21	22	19	8	42	13	10	33	
38	23	43	30	49	30	28	11	24	42	51	69	26	68	28	17	33	45	11	5	28	34	16	49	0	41	48	26	27	48	44	16	34	48	39	42	24	1	40	54	43	60	21	38	29	30	45	51	48	59	36	
61	18	84	11	70	71	55	30	17	25	92	48	33	47	21	24	26	46	30	36	47	13	57	50	41	0	39	47	68	27	51	47	73	89	80	83	17	42	19	57	4	39	28	29	28	57	42	92	63	40	77	
22	41	45	28	31	38	20	49	30	14	53	21	22	20	20	43	15	7	47	43	20	26	42	11	48	39	0	22	29	20	12	32	34	50	41	44	28	47	20	18	41	12	27	10	19	18	3	53	24	11	38	
14	29	37	36	23	24	8	27	30	22	45	43	14	42	26	23	21	19	25	21	2	34	20	23	26	47	22	0	21	28	18	10	26	42	33	36	30	25	28	28	49	34	19	18	19	10	19	45	22	33	30	
15	50	16	57	26	13	13	38	51	43	24	46	35	45	47	44	42	22	38	32	21	55	17	26	27	68	29	21	0	49	21	21	11	21	12	15	51	26	49	31	70	37	40	39	40	11	26	24	25	36	9	
